gcp-uscentral1a-speedtest|203.187.255.90|18207|ookla|Bangalore - YOU Broadband India Pvt Ltd.
gcp-uscentral1a-speedtest|201.95.254.127|27699|ookla|São Paulo - Vivo SPPD
gcp-uscentral1a-speedtest|160.86.253.23|2527|ookla|Kyoto - Local24 Inc.,
gcp-uscentral1a-speedtest|175.100.95.90|38623|ookla|Phnom Penh - MetfonePNP for App and Web
gcp-uscentral1a-speedtest|202.75.250.35|136167|ookla|Macau - SPEEDTEST-MO
gcp-uscentral1a-speedtest|118.143.110.58|9304|ookla|Shatin - HGC Global Communications Limited
gcp-uscentral1a-speedtest|45.63.2.66|20473|ookla|Matawan, NJ - Vultr
gcp-uscentral1a-speedtest|201.96.126.225|8151|ookla|Chihuahua - INFINITUM
gcp-uscentral1a-speedtest|196.202.252.34|36907|ookla|Luanda - TVCABO Angola
gcp-uscentral1a-speedtest|117.131.215.238|38019|ookla|Tianjin - China Mobile TianJin-5G
gcp-uscentral1a-speedtest|160.86.253.23|2527|ookla|Kyoto - Local24 Inc.,
gcp-uscentral1a-speedtest|2.113.55.165|3269|ookla|Udine - Telecom Italia S.p.A.
gcp-uscentral1a-speedtest|66.45.242.18|19318|ookla|Secaucus, NJ - Interserver, inc
gcp-uscentral1a-speedtest|93.20.126.204|15557|ookla|Paris - SFR
gcp-uscentral1a-speedtest|191.241.32.134|263665|ookla|Caucaia - Tecnet Provedor de Acessos
gcp-uscentral1a-speedtest|189.36.192.189|28308|ookla|Fortaleza - WayNet
gcp-uscentral1a-speedtest|138.122.80.47|28598|ookla|Fortaleza - Mob Telecom
gcp-uscentral1a-speedtest|170.84.92.42|264991|ookla|São Miguel do Tapuio - Rede Compunet
gcp-useast1b-speedtest|177.38.239.18|52760|ookla|Jacarezinho - Nova Fibra Telecom
gcp-useast1b-speedtest|80.187.136.31|3320|ookla|Frankfurt Am Main - Deutsche Telekom Technik GmbH
gcp-useast1b-speedtest|109.241.239.66|29314|ookla|Warszawa - Vectra S.A
gcp-useast1b-speedtest|190.80.0.36|19863|ookla|Georgetown - GTT+
gcp-useast1b-speedtest|71.93.249.42|20115|ookla|Slidell, LA - Spectrum
gcp-useast1b-speedtest|112.198.111.39|132199|ookla|Imus - Globe Telecom
